datetime_utc,no_change_march_2026_no,no_change_march_2026_yes,decreases_25_march_2026_no,decreases_25_march_2026_yes,decreases_50_march_2026_no,decreases_50_march_2026_yes,increases_25_march_2026_no,increases_25_march_2026_yes
2026-02-27,,,,,,,0.9955,
2026-02-27,,,0.9825,,,,,
2026-02-27,,,,,,0.0055,,0.0045
2026-02-27,,,,0.0175,,,,
2026-02-27,,,,,0.9945,,,
2026-02-27,,0.9735,,,,,,
2026-02-27,0.0265,,,,,,,
2026-02-28,,,,,,,0.9965,
2026-02-28,,,0.9815,,,,,
2026-02-28,,,,0.0185,,0.0045,,0.0035
2026-02-28,,,,,0.9955,,,
2026-02-28,,0.9735,,,,,,
2026-02-28,0.0265,,,,,,,
2026-03-01,,,,,,,0.9965,
2026-03-01,,,0.9585,,,,,
2026-03-01,,,,,,0.0055,,0.0035
2026-03-01,,,,0.0415,,,,
2026-03-01,,,,,0.9945,,,
2026-03-01,,0.9405,,,,,,
2026-03-02,,,,,,,0.9965,
2026-03-02,,,0.973,,,,,
2026-03-02,,,,,,0.0055,,0.0035
2026-03-02,,,,0.027,,,,
2026-03-02,,,,,0.9945,,,
2026-03-02,,0.9635,,,,,,
2026-03-03,,,,,,,0.9955,
2026-03-03,,,0.981,,,,,
2026-03-03,,,,0.019,,0.0055,,0.0045
2026-03-03,,,,,0.9945,,,
2026-03-03,,0.9665,,,,,,
2026-03-03,0.0335,,,,,,,
2026-03-04,,,,,,,0.9935,
2026-03-04,,,0.9815,,,0.0045,,
2026-03-04,,,,,,,,0.0065
2026-03-04,,,,0.0185,,,,
2026-03-04,,,,,0.9955,,,
2026-03-04,,0.9715,,,,,,
2026-03-04,0.0285,,,,,,,
2026-03-05,,,,,,,0.9955,
2026-03-05,,,0.9915,,,,,0.0045
2026-03-05,,,,0.0085,,0.0035,,
2026-03-05,,,,,0.9965,,,
2026-03-05,,0.9845,,,,,,
2026-03-05,0.0155,,,,,,,
2026-03-06,,,,,,,0.9975,
2026-03-06,,,0.9935,,,,,0.0025
2026-03-06,,,,0.0065,,0.0025,,
2026-03-06,,,,,0.9975,,,
2026-03-06,,0.9895,,,,,,
2026-03-06,0.0105,,,,,,,
2026-03-07,,,,,,,0.9975,
2026-03-07,,,0.986,,,,,
2026-03-07,,,,0.014,,0.0015,,0.0025
2026-03-07,,,,,0.9985,,,
2026-03-07,,0.9835,,,,,,
2026-03-07,0.0165,,,,,,,
2026-03-08,,,,,,,0.9975,
2026-03-08,,,0.989,,,0.0025,,0.0025
2026-03-08,,,,0.011,,,,
2026-03-08,,,,,0.9975,,,
2026-03-08,,0.9835,,,,,,
2026-03-08,0.0165,,,,,,,
2026-03-09,,,,,,,0.9975,
2026-03-09,,,0.9875,,,,,
2026-03-09,,,,0.0125,,0.0025,,0.0025
2026-03-09,,,,,0.9975,,,
2026-03-09,,0.9835,,,,,,
2026-03-09,0.0165,,,,,,,
2026-03-10,,,,,,,0.9965,
2026-03-10,,,0.9915,,,,,
2026-03-10,,,,,,0.0025,,0.0035
2026-03-10,,,,0.0085,,,,
2026-03-10,,,,,0.9975,,,
2026-03-10,,0.9865,,,,,,
2026-03-10,0.0135,,,,,,,
2026-03-11,,,,,,,0.9975,
2026-03-11,,,0.9935,,,,,
2026-03-11,,,,,,0.0025,,0.0025
2026-03-11,,,,0.0065,,,,
2026-03-11,,,,,0.9975,,,
2026-03-11,,0.9885,,,,,,
2026-03-11,0.0115,,,,,,,
2026-03-12,,,,,,,0.9985,
2026-03-12,,,0.9955,,,,,
2026-03-12,,,,0.0045,,0.0015,,0.0015
2026-03-12,,,,,0.9985,,,
2026-03-12,,0.9925,,,,,,
2026-03-12,0.0075,,,,,,,
2026-03-13,,,,,,,0.9985,
2026-03-13,,,0.9965,,,,,
2026-03-13,,,,,,0.0015,,0.0015
2026-03-13,,,,0.0035,,,,
2026-03-13,,,,,0.9985,,,
2026-03-13,,0.9945,,,,,,
2026-03-14,,,,0.0025,,,,
2026-03-14,,,,,0.9985,,,
2026-03-14,,0.9945,,,,,,
2026-03-14,0.0055,,,,,,,
2026-03-14,,,,,,,0.9985,
2026-03-14,,,0.9975,,,,,
2026-03-14,,,,,,0.0015,,0.0015
2026-03-15,,,,0.0025,,,,
2026-03-15,,,,,0.9995,,,
2026-03-15,,0.9965,,,,,,
2026-03-15,0.0035,,,,,,,
2026-03-15,,,,,,,0.9985,
2026-03-15,,,0.9975,,,,,
2026-03-15,,,,,,0.0005,,0.0015
2026-03-16,,,,0.0035,0.9995,,,
2026-03-16,,0.9955,,,,,,
2026-03-16,0.0045,,,,,,,
2026-03-17,,,,0.0035,,,,
2026-03-17,,,,,0.9995,,,
2026-03-17,,0.9945,,,,,,
2026-03-17,0.0055,,,,,,,
2026-03-17,,,,,,,0.9995,
2026-03-17,,,0.9965,,,0.0005,,0.0005
2026-03-18,,,,0.0045,,,,
2026-03-18,,,,,0.9995,,,
2026-03-18,,0.9945,,,,,,
2026-03-18,0.0055,,,,,,,
2026-03-18,,,,,,,0.9995,
2026-03-18,,,0.9955,,,0.0005,,0.0005
